iter	MultiClass
115	0.1890126678
116	0.1880191909
117	0.18659475
118	0.1858239734
119	0.1849703336
120	0.18375229
121	0.1826872392
122	0.1811400087
123	0.1803537439
124	0.1789227802
125	0.177893286
126	0.1769448402
127	0.1761839571
128	0.1753601974
129	0.173854577
130	0.1728468808
131	0.1719007155
132	0.1700984319
133	0.1693691266
134	0.1686434998
135	0.1675378011
136	0.1666749472
137	0.165687933
138	0.1648672292
139	0.1640957339
140	0.1628714757
141	0.1619812246
142	0.1610865463
143	0.1603079096
144	0.1592879048
145	0.1582586806
146	0.1573123081
147	0.1565647522
148	0.1555762812
149	0.1551195783
150	0.1546062471
151	0.1536048389
152	0.1526697011
153	0.1517168367
154	0.1505538995
155	0.1501642623
156	0.149302005
157	0.1488044192
158	0.1484079887
159	0.1476130559
160	0.1469699567
161	0.1457871016
162	0.1451258226
163	0.1444870811
164	0.1439433349
165	0.1431964229
166	0.1426251281
167	0.141959569
168	0.1412431655
169	0.1402230501
170	0.1392860714
171	0.138638616
172	0.1376079508
173	0.1371574447
174	0.1369014316
175	0.1361674542
176	0.1357897844
177	0.1352823484
178	0.1348488908
179	0.1342315557
180	0.133081545
181	0.1323287454
182	0.1317825463
183	0.1312480977
184	0.1304218982
185	0.1300682238
186	0.1295826738
187	0.1290429588
188	0.1286701616
189	0.128219912
190	0.1275027272
191	0.1270928178
192	0.1261391615
193	0.125296711
194	0.1249884552
195	0.1242860756
196	0.1239912638
197	0.1232885747
198	0.1226584535
199	0.1218679848
200	0.1213604298
201	0.1205812932
202	0.1200103028
203	0.1196294957
204	0.1190697544
205	0.118619857
206	0.1183350681
207	0.1179183364
208	0.1175372992
209	0.1165905537
210	0.1160827253
211	0.115582218
212	0.1151109854
213	0.1148233111
214	0.1144203573
215	0.1138152014
216	0.113250648
217	0.1127501221
218	0.1122921867
219	0.1119240688
220	0.1115064545
221	0.1108314921
222	0.1102936537
223	0.1098725643
224	0.1092933501
225	0.1088044564
226	0.1084124374
227	0.1078122415
228	0.1073637109
229	0.1069367409
230	0.1064605794
231	0.106117641
232	0.1058039464
233	0.1051309479
234	0.1047670871
235	0.1044508429
236	0.1037628868
237	0.1033954442
238	0.1030122575
239	0.102844176
240	0.1022369816
241	0.1019048293
242	0.1015643654
243	0.1011962774
244	0.1009410354
245	0.1004221857
246	0.1000185663
247	0.09962529773
248	0.09927914427
249	0.09909499474
250	0.09880701955
251	0.09860032532
252	0.09834564007
253	0.09812694396
254	0.097897656
255	0.09745167842
256	0.09704952433
257	0.09671301517
258	0.09655616878
259	0.09619927069
260	0.09585585634
261	0.09557184664
262	0.09532919558
263	0.09488232706
264	0.09459251673
265	0.09402590963
266	0.09381189664
267	0.09354630086
268	0.09328479492
269	0.09289838704
270	0.09263276572
271	0.09237252097
272	0.09213578954
273	0.09165552103
274	0.09136544518
275	0.09115267791
276	0.09099095671
277	0.09076687198
278	0.09062221082
279	0.09037522601
280	0.08998932268
281	0.08970575533
282	0.08955818882
283	0.08929900311
284	0.08904827057
285	0.08878731235
286	0.0883719707
287	0.08820362546
288	0.08804376096
289	0.08776889145
290	0.08753668466
291	0.08736915497
292	0.0869685933
293	0.0867079775
294	0.0863881388
295	0.08611274153
296	0.08600396416
297	0.08560501978
298	0.08532074701
299	0.08510227148
300	0.0848494029
301	0.08459702864
302	0.08431291601
303	0.08386776201
304	0.08348420884
305	0.08322403978
306	0.08303485286
307	0.08274595425
308	0.08234765493
309	0.08192686776
310	0.08184449497
311	0.0817244078
312	0.08141429084
313	0.08128187674
314	0.08117868627
315	0.0809745228
316	0.08066403403
317	0.0805017825
318	0.08035444722
319	0.08005743775
320	0.07982693668
321	0.079579598
322	0.07940362252
323	0.07925517552
324	0.07911285419
325	0.07894552901
326	0.07866732955
327	0.07845562769
328	0.07815662341
329	0.07783515466
330	0.07750465275
331	0.07728435775
332	0.07702707928
333	0.07684290578
334	0.07666234903
335	0.07641860985
336	0.07628679966
337	0.07615708654
338	0.07602402539
339	0.07585224437
340	0.07551846855
341	0.07527823751
342	0.07514027774
343	0.07479396635
344	0.0744075711
345	0.07424184891
346	0.07394625845
347	0.07380186749
348	0.07344592845
349	0.07309430711
350	0.07284246519
351	0.07269406768
352	0.07257041906
353	0.07219359168
354	0.07192663511
355	0.07183509268
356	0.07166492628
357	0.07140642433
358	0.07097324422
359	0.07080024182
360	0.07028804952
361	0.07018852111
362	0.07006662722
363	0.06982436448
364	0.06963371526
365	0.06952437894
366	0.06937950785
367	0.06925974022
368	0.06907816113
369	0.06895442451
370	0.06878907977
371	0.06858109738
372	0.06848012265
373	0.06836325322
374	0.06817141124
375	0.06807172538
376	0.06796030416
377	0.06781623812
378	0.06767613303
379	0.06745292066
380	0.06734372261
381	0.06712992508
382	0.06686684197
383	0.06674285404
384	0.06661138394
